"The time I knocked a deer down - the sight of the animal's á injuries and helplessness.  The realization that the animal was á so badly hurt that it had to be put down, and when the animal á screamed at the moment of death.",disgust
When I saw all the very drunk kids (13-14 years old) in town on á Walpurgis night.,disgust
At a gathering I found myself involuntarily sitting next to two á people who expressed opinions that I considered very low and á discriminating.,disgust
When I found a bristle in the liver paste tube.,disgust
"When one finds out that someone you know is not at all like one á had thought, for instance friends who steal and things like that, á quite unwarranted.",disgust
Friends who torture animals.,disgust
When I nearly walked on a blindworm and then saw it crawl away.,disgust
"A drunkard fell, started bleeding and wet himself.  Disgust that á turned into sadness-unpleasantness.",disgust
When one learns through the mass media all the wars and killing á going on in the world.,disgust
When I had just moved into my new appartment I found a ventilator á in the kitchen.  I was going to clean it when I found that the á drum was full of mud and slime.  I felt disgusted.,disgust
I saw a cripple in rags with small children in Italy.  He was á probably an imposter.,disgust
I found some worms in the food and I had obviously eaten some.,disgust
When an alcoholic stood dribbling over a food counter.,disgust
A bad smelling cucumber.,disgust
It was when I read a newspaper article on the future and they á foresaw that we would be eating frog-burgers by the year 2000.  á An illustration showed a frog between two pieces of bread.,disgust
When someone makes advances that one does not want.,disgust
When a dog is left whining outside a shop.,disgust
While walking in town I noticed how the police harrassed a man á who was under the influence of alcohol.  They terrified him with á the thought of arrest by driving close behind him on a pedestrian á street.  My disgust was directed at the gestures and the facial á expressions of the policemen; they seemed to be enjoying á themselves.,disgust
"At a Sm÷rgasbord table, a man mixed differnet kinds of picked á herrings with fruit salad.",disgust
When I was weeding the garden I found a lizard in my hand.,disgust
"When I saw a picture, in the Gothenburg Post, of a totally á demolished car with two fatally injured passengers.  The car was á so badly damaged that they couldn't get the bodies out at the á scene of the accident.",disgust
Grovelling people.,disgust
"Observing someone in the cafeteria noisily gulping in his food, á having extremely bad manners.",disgust
"I felt some disgust for my boyfriend for a time, after he had á left me.",disgust
Nothing.,disgust
Not applicable.,disgust
"In the tram there was a fat, sickly looking woman in front of me á who was asking for directions in a thick voice.  When she got up to á go a disgusting smell of urine came from her.  I felt that I á would choke.",disgust
"My superior at the summer job swindled customers as much as he á could, and once put me in a difficult situation after which I á could not but detest him.",disgust
"At the underground station, a drunkard came to speak to me.  He á tried to ask me something but I did not answer so he began to á speak about me with his companion.  I detested this dirty á growling man.",disgust
"In the evening, while I was watching TV, my little brother came á in and started eating food he had brought from the kitchen while á I was trying to concentrate on the program.",disgust
"Out of sheer curiosity, I went to see a pornographic movie in á Copenhagen.  The room was full of men, who panted and á masturbated.  Very disgusting.",disgust
[ No response.],disgust
[ Normally I do not feel disgusted.],disgust
Dog dirt which thaws in the spring.,disgust
[ Can not think of any situation.],disgust
[ Can not remember.],disgust
[ No response.],disgust
[ No response.],disgust
If a guy one is not interested in makes advances.,disgust
Someone vomited on the street.,disgust
When I saw a dog which had been knocked down by a car.,disgust
When I was on holiday someone vomited in front of me.,disgust
I was forced to stay in the canteen and eat the food that I had á not asked for but got it anyway.,disgust
"In a warm bus full of people, someone vomited and the whole bus á stank.",disgust
When I read a newspaper article on a young girl who had been á raped and assaulted one night by several men when she was unconscious.,disgust
When I slept with a guy because my best friend wanted me to.  á He had never had intercourse with anyone and had a terrible á complex about it.,disgust
"When a member of the family complains about the food that is á served, it disgusts me.",disgust
"When I was working as a nurse in a mental hospital, a patient ate á up the contents of another patient's spitoon.",disgust
"At a certain person's lack of cleanliness, at home and á personally.",disgust
"My parents attitude towards each other when they should become á reconciled, despite my father's long-time addiction.",disgust
When I was about to clean the draining board and saw it looked á underneath the sink (I live in a students hostel).,disgust
A mother who shouts at her child for nothing.,disgust
When I saw a big spider from very close.,disgust
The first time that I saw a surgeon cut off a leg and put it in a á black rubbish bag.,disgust
T.V features showing the violation of defenceless people.,disgust
Spit and vomit.,disgust
"A study visit to a chicken factory : the butchery, the smell, á the environment and the noise.",disgust
When programmes on violence or pornography are shown on T.V.,disgust
A film were a woman was attacked and raped.  One did not see the á worst but it had the desired effect - very strong.,disgust
When my cat vomited and a worm came out which was still alive.  I á was forced to wipe it up.,disgust
"Disgust is a feeling that I have never experienced with peoplie á but , on the other hand, it has been with repulsive animals, i;e á snakes on T.V.",disgust
At the police centre a man between 40-50 was brought in.  He was á very drunk and in all likelihood had not slept indoors for a long á time and had relieved himself in his trousers.,disgust
"I had some sort of a stomach virus last week and  I vomited in á college in the morning, then in the cake shop, three times during á the trip home and again when I got home.",disgust
When I think now about the way my father behaved when filing a á divorce.,disgust
When I tried to explain to my child as to why there were á magazines wiith naked girls on them at the kiosk.,disgust
When I saw a T.V programme on animals in the film world á (mistreated and used).,disgust
When I read racist slogans on the walls.,disgust
"When I was an auxiliary nurse at the hospital and I had to change á the nappies, for the first time, of a very old and sick woman.",disgust
"When I woke up one morning and went to the kitchen I discovered á that our dog had diarrhoea.  There were small \piles\"" all over á",disgust
The lift of Stockholm central station stank of vomit and urine.,disgust
I was dominated by a certain person and even though I knew it I á could not change my own reactions.,disgust
A friend unjustly put the blame on me to relieve his conscience á and also spread lies for the same purpose.,disgust
When I discovered that the house we had hired in Tonga was full á of cockroaches.,disgust
[ No response.],disgust
[ No response.],disgust
[ No response.],disgust
[ No response.],disgust
[ No response.],disgust
 The smell of garlic in rush-hour bus.,disgust
I happened to see the video-tape movie \This is America - Part á,disgust
"During the week-end at home, my mother fries greasy and unhealthy á meat dishes which make me feel sick.",disgust
"When I went home by train from Sicilia, I was molested by a man.",disgust
"A friend's boy-friend treated her very badly, let her serve him, á provoked her and just utilized her.",disgust
It was in a tramway-carriage: A stranger insulted a girl just á because she blew her nose. I detested his behaviour.,disgust
I came across a group of people with the same basic ideas/beliefs á who were all fighting and going against what they would say was á good.,disgust
During a movie in which I saw the effect of white settlers in á Africa.,disgust
"At what I was capable of of selfishly using others for sexual á encounters, while I held a vision of having a deepening á above-board (you know, \girl next door\"") devotion to a girl in my á",disgust
I work part-time as a shop-assistant and a customer spoke to me á very loudly about an Indian man & white woman with children - how á horrible that was and would I want to have little dark children.,disgust
"Coming home one night - my sister was home, and had been drinking á heavily and started picking arguments.",disgust
When I saw all the starving people in Ethiopia on T.V.  It felt á awful to see such suffering.,disgust
[ No response.],disgust
When my uncle comes (3 times a year) for the traditional á Christmas dinner with my grandparents and other relatives and is á very drunk.,disgust
